epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,338.537,0.56186,0.25375,0.967,0.99884,0.9955,0.995,0.86226,0.66074,0.25748,0.98756,0.00104538,0.00104538,0.00104538
115,341.487,0.57683,0.2676,0.96445,0.99905,0.9955,0.995,0.87838,0.61272,0.26468,0.97519,0.00103987,0.00103987,0.00103987
116,344.471,0.58373,0.26556,0.98012,0.99921,0.98198,0.99473,0.85149,0.65733,0.3009,0.98415,0.00103437,0.00103437,0.00103437
117,347.437,0.57281,0.25969,0.96642,0.98896,0.9955,0.99491,0.85264,0.67824,0.28175,1.00791,0.00102887,0.00102887,0.00102887
118,350.392,0.58147,0.25749,0.97009,0.99936,0.9955,0.995,0.85912,0.65699,0.25625,0.98056,0.00102337,0.00102337,0.00102337
119,353.365,0.56914,0.25788,0.9576,0.98863,0.9955,0.99495,0.8714,0.60527,0.27135,0.9698,0.00101787,0.00101787,0.00101787
120,356.329,0.56877,0.2533,0.95518,0.98472,0.99504,0.99464,0.87874,0.568,0.27096,0.95156,0.00101237,0.00101237,0.00101237
121,359.323,0.57403,0.25715,0.97007,0.99466,0.9955,0.995,0.848,0.68872,0.27229,0.99713,0.00100687,0.00100687,0.00100687
122,362.277,0.5649,0.25238,0.96058,0.99682,0.99968,0.995,0.87481,0.58006,0.2415,0.95786,0.00100137,0.00100137,0.00100137
123,365.245,0.56595,0.25434,0.96625,0.99807,0.9955,0.995,0.85571,0.66272,0.27937,1.00514,0.000995866,0.000995866,0.000995866
124,368.199,0.55525,0.25512,0.96074,0.99398,0.9902,0.99487,0.84777,0.66392,0.27633,0.99614,0.000990365,0.000990365,0.000990365
125,371.173,0.54523,0.25141,0.94382,0.9951,0.99162,0.995,0.87972,0.58588,0.2567,0.95675,0.000984864,0.000984864,0.000984864
126,374.165,0.55175,0.24653,0.95166,0.99277,0.98649,0.99478,0.87029,0.61797,0.27411,0.96573,0.000979362,0.000979362,0.000979362
127,377.141,0.54939,0.24834,0.94377,0.98767,0.98649,0.99416,0.85507,0.61667,0.27899,0.97809,0.000973861,0.000973861,0.000973861
128,380.099,0.54553,0.24904,0.95604,0.99522,0.99322,0.995,0.87829,0.57575,0.2541,0.95221,0.00096836,0.00096836,0.00096836
129,383.061,0.53382,0.24897,0.93497,0.9636,0.98479,0.99359,0.86473,0.58868,0.30519,0.97467,0.000962859,0.000962859,0.000962859
130,386.018,0.54021,0.25282,0.9473,0.99942,0.99528,0.995,0.87851,0.58958,0.25416,0.95698,0.000957358,0.000957358,0.000957358
131,388.975,0.52523,0.24186,0.94682,0.99728,0.98591,0.99495,0.89054,0.54201,0.27312,0.94233,0.000951857,0.000951857,0.000951857
132,391.963,0.51276,0.24001,0.93734,0.99799,0.98157,0.99404,0.87523,0.57432,0.27456,0.94511,0.000946356,0.000946356,0.000946356
133,394.918,0.52468,0.24453,0.93417,0.99442,0.98649,0.99495,0.86973,0.60628,0.27852,0.96786,0.000940855,0.000940855,0.000940855
134,397.875,0.52529,0.24979,0.94215,0.99394,0.9955,0.99491,0.89591,0.53881,0.25108,0.94973,0.000935354,0.000935354,0.000935354
135,400.868,0.52244,0.24513,0.94902,0.99646,0.99503,0.995,0.88679,0.56159,0.25514,0.94759,0.000929853,0.000929853,0.000929853
136,403.835,0.53856,0.2491,0.95827,0.97991,0.9955,0.99491,0.88103,0.56754,0.2756,0.94505,0.000924352,0.000924352,0.000924352
137,406.796,0.50491,0.23665,0.93639,0.99731,0.96847,0.99395,0.88429,0.53504,0.30304,0.93961,0.00091885,0.00091885,0.00091885
138,409.75,0.51005,0.24566,0.92985,0.98647,0.98649,0.99431,0.89145,0.53946,0.27124,0.95091,0.000913349,0.000913349,0.000913349
139,412.703,0.51042,0.24343,0.94165,1,0.99195,0.995,0.89965,0.51089,0.24866,0.9264,0.000907848,0.000907848,0.000907848
140,415.69,0.5029,0.23491,0.93516,0.99951,0.99536,0.995,0.89951,0.51735,0.24442,0.92257,0.000902347,0.000902347,0.000902347
141,418.655,0.4919,0.23286,0.93455,0.99844,0.99967,0.995,0.90047,0.49848,0.22366,0.9222,0.000896846,0.000896846,0.000896846
142,421.646,0.50627,0.23851,0.93979,0.99063,0.98605,0.99496,0.893,0.51923,0.25076,0.92592,0.000891345,0.000891345,0.000891345
143,424.608,0.49101,0.23519,0.92616,0.9984,0.9955,0.995,0.90635,0.50253,0.23389,0.91855,0.000885844,0.000885844,0.000885844
144,427.59,0.50371,0.23368,0.92412,0.99872,0.99579,0.995,0.89301,0.51754,0.22683,0.91826,0.000880343,0.000880343,0.000880343
145,430.557,0.49846,0.23532,0.92657,0.99955,0.9964,0.995,0.9019,0.49977,0.2258,0.9097,0.000874842,0.000874842,0.000874842
146,433.515,0.48125,0.23216,0.92001,0.9791,0.99021,0.99359,0.89527,0.51625,0.27348,0.93777,0.00086934,0.00086934,0.00086934
147,436.465,0.48942,0.23444,0.92811,0.99064,0.99443,0.99495,0.90153,0.47851,0.23913,0.91861,0.000863839,0.000863839,0.000863839
148,439.426,0.50202,0.23678,0.9341,0.99818,0.9955,0.995,0.89048,0.51856,0.23642,0.92569,0.000858338,0.000858338,0.000858338
149,442.379,0.46815,0.22404,0.91124,0.99792,0.99099,0.99495,0.90489,0.49018,0.23551,0.91581,0.000852837,0.000852837,0.000852837
150,445.339,0.48235,0.23181,0.92324,0.99957,0.99465,0.995,0.9041,0.4777,0.22466,0.90761,0.000847336,0.000847336,0.000847336
151,448.306,0.4782,0.22621,0.91577,0.99383,1,0.995,0.9061,0.49727,0.22207,0.91549,0.000841835,0.000841835,0.000841835
152,451.27,0.49033,0.23525,0.93945,0.99914,0.99951,0.995,0.9013,0.48513,0.22993,0.91793,0.000836334,0.000836334,0.000836334
153,454.24,0.49478,0.23469,0.92142,0.99632,0.99099,0.995,0.89919,0.51485,0.25326,0.92551,0.000830833,0.000830833,0.000830833
154,457.211,0.47956,0.22915,0.91537,0.99837,0.99515,0.995,0.89829,0.5022,0.23936,0.91294,0.000825332,0.000825332,0.000825332
155,460.177,0.4554,0.22411,0.89702,0.999,0.9955,0.995,0.90816,0.48089,0.2327,0.9089,0.000819831,0.000819831,0.000819831
156,463.173,0.47352,0.23036,0.91571,0.99355,0.98649,0.99473,0.90144,0.49336,0.2586,0.91291,0.000814329,0.000814329,0.000814329
157,466.13,0.47633,0.22712,0.92218,0.99917,0.99063,0.99491,0.904,0.4833,0.23655,0.90738,0.000808828,0.000808828,0.000808828
158,469.093,0.46645,0.22282,0.91333,0.9994,0.9955,0.995,0.90821,0.47516,0.22229,0.90512,0.000803327,0.000803327,0.000803327
159,472.089,0.45725,0.21916,0.91113,0.99544,0.96539,0.99331,0.90575,0.5027,0.27453,0.9257,0.000797826,0.000797826,0.000797826
160,475.051,0.47699,0.22894,0.92808,0.99648,0.9955,0.995,0.9077,0.48062,0.22941,0.91564,0.000792325,0.000792325,0.000792325
161,478.017,0.46888,0.22213,0.92517,0.99678,0.99966,0.995,0.91164,0.49357,0.21048,0.91111,0.000786824,0.000786824,0.000786824
162,481.002,0.47484,0.22042,0.90851,0.99345,0.9955,0.99495,0.91627,0.45418,0.21594,0.90266,0.000781323,0.000781323,0.000781323
163,483.988,0.47432,0.22388,0.90928,0.99409,0.99099,0.995,0.90373,0.49971,0.24297,0.92185,0.000775822,0.000775822,0.000775822
164,488.014,0.47315,0.22045,0.90933,0.99905,0.9955,0.995,0.90702,0.47592,0.21525,0.91027,0.000770321,0.000770321,0.000770321
165,490.974,0.47167,0.22497,0.91632,0.99483,0.9955,0.99495,0.90565,0.48326,0.21936,0.91256,0.00076482,0.00076482,0.00076482
166,493.923,0.45174,0.21835,0.90376,0.99851,0.9955,0.995,0.90408,0.48448,0.21352,0.91702,0.000759318,0.000759318,0.000759318
167,496.867,0.46008,0.22307,0.91387,0.99698,0.99966,0.995,0.90426,0.46947,0.2159,0.92159,0.000753817,0.000753817,0.000753817
168,499.825,0.43765,0.21491,0.91069,0.99677,0.98708,0.995,0.90991,0.4723,0.23063,0.9132,0.000748316,0.000748316,0.000748316
169,502.788,0.43987,0.21886,0.89799,0.9989,0.9955,0.995,0.91121,0.46213,0.21893,0.90484,0.000742815,0.000742815,0.000742815
170,505.743,0.43659,0.21442,0.90857,0.99948,1,0.995,0.91485,0.45839,0.21089,0.90424,0.000737314,0.000737314,0.000737314
171,508.692,0.43539,0.21334,0.89522,0.995,0.9955,0.995,0.91556,0.44497,0.23015,0.89818,0.000731813,0.000731813,0.000731813
172,511.644,0.44415,0.21918,0.90729,0.99151,1,0.99496,0.9223,0.44426,0.22114,0.89274,0.000726312,0.000726312,0.000726312
173,514.624,0.45143,0.21638,0.90443,0.99685,0.99958,0.995,0.91609,0.46007,0.21627,0.89745,0.000720811,0.000720811,0.000720811
174,517.578,0.4377,0.21337,0.89565,0.99855,1,0.995,0.91275,0.46408,0.21887,0.90305,0.00071531,0.00071531,0.00071531
175,520.527,0.43157,0.21519,0.91528,0.99944,1,0.995,0.91416,0.46904,0.21499,0.91399,0.000709809,0.000709809,0.000709809
176,523.465,0.44192,0.21064,0.90491,0.99801,0.99969,0.995,0.91521,0.4491,0.20714,0.89426,0.000704307,0.000704307,0.000704307
177,526.424,0.41957,0.20673,0.8925,0.99825,0.99976,0.995,0.91986,0.44707,0.2036,0.90917,0.000698806,0.000698806,0.000698806
178,529.379,0.43145,0.20761,0.89804,0.99915,1,0.995,0.9199,0.45249,0.20259,0.8985,0.000693305,0.000693305,0.000693305
179,532.33,0.43701,0.209,0.8991,0.99865,0.99532,0.995,0.91185,0.48327,0.22574,0.91471,0.000687804,0.000687804,0.000687804
180,535.287,0.43436,0.20878,0.90727,0.99731,0.99966,0.995,0.91648,0.45759,0.21222,0.90097,0.000682303,0.000682303,0.000682303
181,538.244,0.43158,0.20723,0.90438,0.99725,0.99969,0.995,0.92634,0.43168,0.20303,0.89309,0.000676802,0.000676802,0.000676802
182,541.218,0.43698,0.21006,0.89677,0.99672,0.9997,0.995,0.92499,0.43795,0.2043,0.89932,0.000671301,0.000671301,0.000671301
183,544.169,0.42586,0.20995,0.88596,0.99905,1,0.995,0.91675,0.45148,0.20121,0.90813,0.0006658,0.0006658,0.0006658
