Epoch 96: Loss = 66.4008, NME = 0.0048, Pixel Error = 68.3387, Val Loss = 171.1159, Val NME = 0.0078, Val Pixel Error = 116.9644
Epoch 97: Loss = 46.5364, NME = 0.0040, Pixel Error = 58.2021, Val Loss = 70.2397, Val NME = 0.0045, Val Pixel Error = 67.5536
Epoch 98: Loss = 47.2949, NME = 0.0042, Pixel Error = 60.2735, Val Loss = 109.4465, Val NME = 0.0058, Val Pixel Error = 90.0091
Epoch 99: Loss = 41.9068, NME = 0.0039, Pixel Error = 57.5056, Val Loss = 132.1408, Val NME = 0.0069, Val Pixel Error = 99.6554
Epoch 100: Loss = 49.9769, NME = 0.0042, Pixel Error = 59.3365, Val Loss = 60.3580, Val NME = 0.0041, Val Pixel Error = 59.3134
Epoch 101: Loss = 38.3424, NME = 0.0037, Pixel Error = 52.4495, Val Loss = 102.0254, Val NME = 0.0057, Val Pixel Error = 84.1672
Epoch 102: Loss = 53.7337, NME = 0.0043, Pixel Error = 60.9198, Val Loss = 105.5012, Val NME = 0.0060, Val Pixel Error = 87.5591
Epoch 103: Loss = 32.8019, NME = 0.0035, Pixel Error = 49.1473, Val Loss = 79.4949, Val NME = 0.0049, Val Pixel Error = 74.2211
Epoch 104: Loss = 29.1682, NME = 0.0031, Pixel Error = 43.7993, Val Loss = 69.0015, Val NME = 0.0043, Val Pixel Error = 63.4800
Epoch 105: Loss = 35.1966, NME = 0.0035, Pixel Error = 49.1319, Val Loss = 67.1827, Val NME = 0.0045, Val Pixel Error = 67.1251
Epoch 106: Loss = 31.0503, NME = 0.0032, Pixel Error = 46.8591, Val Loss = 70.6012, Val NME = 0.0045, Val Pixel Error = 65.2183
Epoch 107: Loss = 30.7517, NME = 0.0033, Pixel Error = 47.3229, Val Loss = 83.8057, Val NME = 0.0050, Val Pixel Error = 76.1788
Epoch 108: Loss = 28.5578, NME = 0.0032, Pixel Error = 45.6667, Val Loss = 111.5138, Val NME = 0.0061, Val Pixel Error = 91.8841
Epoch 109: Loss = 33.9017, NME = 0.0035, Pixel Error = 49.9200, Val Loss = 95.0235, Val NME = 0.0056, Val Pixel Error = 80.1154
